Id;downloaded_image_name;image_name;url;image type;hallucination type;l1;l2;l3
30;image_30;58bcfd8f-5584-4312-91db-4c8986fbb673.png;https://midjourney-image.s3.amazonaws.com/58bcfd8f-5584-4312-91db-4c8986fbb673.png;generated;false premises;people;people;artifacts
31;image_31;31b998cf-ea69-4cf1-bcf4-fe0c2937aebb.png;https://midjourney-image.s3.amazonaws.com/31b998cf-ea69-4cf1-bcf4-fe0c2937aebb.png;generated;false premises;artifacts;animals;artifacts
32;image_32;3f94a9fc-0947-4d29-a8db-503da17371eb.png;https://midjourney-image.s3.amazonaws.com/3f94a9fc-0947-4d29-a8db-503da17371eb.png;generated;false premises;nature;people;artifacts
33;image_33;00bfaee4-becc-403c-a65c-898961485fea.png;https://midjourney-image.s3.amazonaws.com/00bfaee4-becc-403c-a65c-898961485fea.png;generated;false premises;artifacts;artifacts;accessories
34;image_34;4b28f5f3-f9ef-472e-a88e-1386aa516731 11.49.40 PM.png;https://midjourney-image.s3.amazonaws.com/4b28f5f3-f9ef-472e-a88e-1386aa516731+11.49.40+PM.png;generated;false premises;people;people;artifacts
35;image_35;3df60a8f-9357-487b-bc36-03d0f2754c11.png;https://midjourney-image.s3.amazonaws.com/3df60a8f-9357-487b-bc36-03d0f2754c11.png;generated;false premises;animals;animals;animals
36;image_36;606475bb-baf0-4ec0-b9a3-4e50f52f50cf.png;https://midjourney-image.s3.amazonaws.com/606475bb-baf0-4ec0-b9a3-4e50f52f50cf.png;generated;false premises;people;artifacts;electronics
37;image_37;4cfefd61-0707-4303-b457-98e7819025a0.png;https://midjourney-image.s3.amazonaws.com/4cfefd61-0707-4303-b457-98e7819025a0.png;generated;false premises;animals;construction;plants
38;image_38;473e30e3-79ee-43e7-8dbc-b0ee5346e3fa.png;https://midjourney-image.s3.amazonaws.com/473e30e3-79ee-43e7-8dbc-b0ee5346e3fa.png;generated;false premises;people;people;artifacts
39;image_39;329295883_572141384837358_8437995903476001500_n.jpg;https://midjourney-image.s3.amazonaws.com/329295883_572141384837358_8437995903476001500_n.jpg;generated;false premises;people;artifacts;animals
40;image_40;592f971c-0ce9-4742-9856-b82d44e47a55.png;https://midjourney-image.s3.amazonaws.com/592f971c-0ce9-4742-9856-b82d44e47a55.png;generated;false premises;artifacts;body;artifacts
41;image_41;449f5ac6-d83b-44c2-b844-00b30a8bfcd4.png;https://midjourney-image.s3.amazonaws.com/449f5ac6-d83b-44c2-b844-00b30a8bfcd4.png;generated;false premises;people;people;artifacts
42;image_42;5a13fcca-8e45-4260-942a-7888af3d40aa.png;https://midjourney-image.s3.amazonaws.com/5a13fcca-8e45-4260-942a-7888af3d40aa.png;generated;false premises;animals;construction;people
43;image_43;50d7bc30-ce9a-4aef-8f8a-31da9f37892c.png;https://midjourney-image.s3.amazonaws.com/50d7bc30-ce9a-4aef-8f8a-31da9f37892c.png;generated;false premises;plants;nature;plants
44;image_44;20522be9-f34d-478d-9e61-03817a58126b.png;https://midjourney-image.s3.amazonaws.com/20522be9-f34d-478d-9e61-03817a58126b.png;generated;false premises;people;people;nature
45;image_45;57ac60c4-5a1c-46b4-b982-035135907723.png;https://midjourney-image.s3.amazonaws.com/57ac60c4-5a1c-46b4-b982-035135907723.png;generated;false premises;animals;animals;animals
46;image_46;56b3f742-cb42-498d-b8d1-eb31b68d23cd.png;https://midjourney-image.s3.amazonaws.com/56b3f742-cb42-498d-b8d1-eb31b68d23cd.png;generated;false premises;artifacts;food;people
47;image_47;15899b62-2c53-489d-9b8e-8c04b3b9b2e9.png;https://midjourney-image.s3.amazonaws.com/15899b62-2c53-489d-9b8e-8c04b3b9b2e9.png;generated;false premises;construction;plants;nature
48;image_48;3c679859-30cd-4e23-8c83-f3189535f718.png;https://midjourney-image.s3.amazonaws.com/3c679859-30cd-4e23-8c83-f3189535f718.png;generated;insufficient context;people;people;artifacts
49;image_49;27509751-eac8-4104-9e1d-7b88143d7540.png;https://midjourney-image.s3.amazonaws.com/27509751-eac8-4104-9e1d-7b88143d7540.png;generated;false premises;people;construction;artifacts
50;image_50;4ac672bf-53fb-4baa-9c36-4acf4ea2fe5c 11.49.41 PM.png;https://midjourney-image.s3.amazonaws.com/4ac672bf-53fb-4baa-9c36-4acf4ea2fe5c+11.49.41+PM.png;generated;false premises;people;people;artifacts
51;image_51;2129783b-6d13-4c31-b1b7-45fa05eca8a9.png;https://midjourney-image.s3.amazonaws.com/2129783b-6d13-4c31-b1b7-45fa05eca8a9.png;generated;false premises;appliences;appliences;appliences
52;image_52;4b28f5f3-f9ef-472e-a88e-1386aa516731.png;https://midjourney-image.s3.amazonaws.com/4b28f5f3-f9ef-472e-a88e-1386aa516731.png;generated;false premises;people;people;artifacts
53;image_53;13b46a76-34ad-4357-bae0-f453311bcc48.png;https://midjourney-image.s3.amazonaws.com/13b46a76-34ad-4357-bae0-f453311bcc48.png;generated;false premises;animals;artifacts;plants
54;image_54;228bac8d-f779-484c-a3ad-ca79319c4306.png;https://midjourney-image.s3.amazonaws.com/228bac8d-f779-484c-a3ad-ca79319c4306.png;generated;false premises;people;artifacts;animals
55;image_55;200fb944-d2ef-47ce-9395-e05eacc5898e 11.49.40 PM.png;https://midjourney-image.s3.amazonaws.com/200fb944-d2ef-47ce-9395-e05eacc5898e+11.49.40+PM.png;generated;false premises;people;people;construction
56;image_56;337394174_267228845628587_3053664579102423620_n.jpg;https://midjourney-image.s3.amazonaws.com/337394174_267228845628587_3053664579102423620_n.jpg;generated;false premises;artifacts;nature;artifacts
57;image_57;4603c358-c635-47fc-be48-c0570ffee9ea.png;https://midjourney-image.s3.amazonaws.com/4603c358-c635-47fc-be48-c0570ffee9ea.png;generated;insufficient context;people;people;artifacts
58;image_58;55fbc106-5b4f-44f6-a03f-35e99810d525.png;https://midjourney-image.s3.amazonaws.com/55fbc106-5b4f-44f6-a03f-35e99810d525.png;generated;false premises;plants;artifacts;accessories
59;image_59;328804604_198308002869982_8271890839315609108_n.jpg;https://midjourney-image.s3.amazonaws.com/328804604_198308002869982_8271890839315609108_n.jpg;generated;false premises;people;body;artifacts
60;image_60;26c9179b-e84f-47a6-ac18-2f2f46eb4d09.png;https://midjourney-image.s3.amazonaws.com/26c9179b-e84f-47a6-ac18-2f2f46eb4d09.png;generated;insufficient context;animals;artifacts;artifacts
61;image_61;4lc4z4r_Point_of_view_of_a_student_sitting_at_the_back_of_a_Sma_a8aa34a7-5add-4062-9edb-61340a0cd5e2.png;https://midjourney-image.s3.amazonaws.com/4lc4z4r_Point_of_view_of_a_student_sitting_at_the_back_of_a_Sma_a8aa34a7-5add-4062-9edb-61340a0cd5e2.png;generated;false premises;indoor;people;artifacts
62;image_62;57da9de4-01da-4a52-993a-f804bb358528.png;https://midjourney-image.s3.amazonaws.com/57da9de4-01da-4a52-993a-f804bb358528.png;generated;false premises;people;people;artifacts
63;image_63;5964b0ce-69f3-442d-b6ad-3aac617b7f67.png;https://midjourney-image.s3.amazonaws.com/5964b0ce-69f3-442d-b6ad-3aac617b7f67.png;generated;insufficient context;people;animals;body
64;image_64;1456a147-1945-463c-aa69-dc1fe6809ac4.png;https://midjourney-image.s3.amazonaws.com/1456a147-1945-463c-aa69-dc1fe6809ac4.png;generated;false premises;artifacts;artifacts;people
65;image_65;370d2aae-1d14-4eeb-b729-54f8f7aa918e.png;https://midjourney-image.s3.amazonaws.com/370d2aae-1d14-4eeb-b729-54f8f7aa918e.png;generated;insufficient context;people;nature;artifacts
66;image_66;514597c5-2514-45e1-8d8d-a318901975aa.png;https://midjourney-image.s3.amazonaws.com/514597c5-2514-45e1-8d8d-a318901975aa.png;generated;false premises;people;nature;body
67;image_67;334819934_1397609237740235_7928179564403505632_n.jpg;https://midjourney-image.s3.amazonaws.com/334819934_1397609237740235_7928179564403505632_n.jpg;generated;false premises;animals;artifacts;nature
68;image_68;5c3e8c8d-8cbc-4d5e-b97f-004446fc01d1.png;https://midjourney-image.s3.amazonaws.com/5c3e8c8d-8cbc-4d5e-b97f-004446fc01d1.png;generated;false premises;people;artifacts;electronics
69;image_69;326825595_3416563878671254_7952369113458226931_n.jpg;https://midjourney-image.s3.amazonaws.com/326825595_3416563878671254_7952369113458226931_n.jpg;generated;false premises;animals;artifacts;nature
70;image_70;3d9c651e-088a-46aa-bafd-481eb6a62fae.png;https://midjourney-image.s3.amazonaws.com/3d9c651e-088a-46aa-bafd-481eb6a62fae.png;generated;false premises;people;nature;people
71;image_71;327115898_143464891592583_5371885146283148765_n.jpg;https://midjourney-image.s3.amazonaws.com/327115898_143464891592583_5371885146283148765_n.jpg;generated;false premises;animals;people;accessories
72;image_72;090f53ae-f58f-4bf9-8bc0-581c05615229.png;https://midjourney-image.s3.amazonaws.com/090f53ae-f58f-4bf9-8bc0-581c05615229.png;generated;false premises;people;furniture;indoor
73;image_73;4f69cb3b-5da9-4d5e-a10d-8ed35e4b8de0.png;https://midjourney-image.s3.amazonaws.com/4f69cb3b-5da9-4d5e-a10d-8ed35e4b8de0.png;generated;false premises;food;food;plants
74;image_74;289358a4-910a-4669-8de7-d2e692cfbbe2.png;https://midjourney-image.s3.amazonaws.com/289358a4-910a-4669-8de7-d2e692cfbbe2.png;generated;false premises;animals;artifacts;artifacts
75;image_75;326877625_571961184787356_3076936089170372648_n.jpg;https://midjourney-image.s3.amazonaws.com/326877625_571961184787356_3076936089170372648_n.jpg;generated;false premises;people;animals;construction
76;image_76;327013599_585573892935278_4288462212191502555_n.jpg;https://midjourney-image.s3.amazonaws.com/327013599_585573892935278_4288462212191502555_n.jpg;generated;false premises;indoor;artifacts;body
77;image_77;59f47990-da6d-4777-b7e6-b703e2e1e7f3.png;https://midjourney-image.s3.amazonaws.com/59f47990-da6d-4777-b7e6-b703e2e1e7f3.png;generated;false premises;nature;nature;artifacts
78;image_78;4lc4z4r_Point_of_view_of_a_student_sitting_at_the_back_of_a_Sma_954159f0-53ae-498a-8ac4-bd9c763a572a.png;https://midjourney-image.s3.amazonaws.com/4lc4z4r_Point_of_view_of_a_student_sitting_at_the_back_of_a_Sma_954159f0-53ae-498a-8ac4-bd9c763a572a.png;generated;false premises;indoor;people;artifacts
79;image_79;5c4641e8-9d93-44a1-8470-cd7b83a7c605.png;https://midjourney-image.s3.amazonaws.com/5c4641e8-9d93-44a1-8470-cd7b83a7c605.png;generated;false premises;construction;construction;nature
80;image_80;5c00181c-518b-4b41-84f1-21230d2f4cf1.png;https://midjourney-image.s3.amazonaws.com/5c00181c-518b-4b41-84f1-21230d2f4cf1.png;generated;false premises;animals;animals;body
81;image_81;5ceb45df-dfcc-405e-af86-6e86670f5302.png;https://midjourney-image.s3.amazonaws.com/5ceb45df-dfcc-405e-af86-6e86670f5302.png;generated;false premises;animals;animals;artifacts
82;image_82;431e4613-5a05-4e7f-8fc3-976c5c54c9fc.png;https://midjourney-image.s3.amazonaws.com/431e4613-5a05-4e7f-8fc3-976c5c54c9fc.png;generated;false premises;animals;artifacts;people
83;image_83;0e120dd6-a859-4e2e-bbd4-ba8f4a7b9a8f.png;https://midjourney-image.s3.amazonaws.com/0e120dd6-a859-4e2e-bbd4-ba8f4a7b9a8f.png;generated;false premises;vehicles;vehicles;artifacts
84;image_84;15897d68-4f5b-4122-a214-f48d16ed74e8.png;https://midjourney-image.s3.amazonaws.com/15897d68-4f5b-4122-a214-f48d16ed74e8.png;generated;false premises;artifacts;nature;people
85;image_85;08372d72-d842-4dea-8579-45ccfe749485.png;https://midjourney-image.s3.amazonaws.com/08372d72-d842-4dea-8579-45ccfe749485.png;generated;false premises;artifacts;people;artifacts
86;image_86;10bbd913-a133-401d-9251-9cdd6e14285a.png;https://midjourney-image.s3.amazonaws.com/10bbd913-a133-401d-9251-9cdd6e14285a.png;generated;false premises;animals;animals;animals
88;image_88;Stu_1138_2_panel_page_reailistic_portraits_from_a_sci_fi_comic__158927da-4645-49d3-9fd1-bfb3806b1ddc.png;https://midjourney-image.s3.amazonaws.com/Stu_1138_2_panel_page_reailistic_portraits_from_a_sci_fi_comic__158927da-4645-49d3-9fd1-bfb3806b1ddc.png;generated;false premises;artifacts;artifacts;artifacts
89;image_89;Lavrentii_astronaut_laying_in_flowers_top_view_cinematic_dark_l_33050faf-bdec-4a92-b0aa-b9344b531213.png;https://midjourney-image.s3.amazonaws.com/Lavrentii_astronaut_laying_in_flowers_top_view_cinematic_dark_l_33050faf-bdec-4a92-b0aa-b9344b531213.png;generated;false premises;nature;people;plants
90;image_90;Luanp1_A_captivating_long-haired_girl_with_exquisite_dreads_ami_ae8b9f6b-f8e3-4c83-bf63-89577db740f8.png;https://midjourney-image.s3.amazonaws.com/Luanp1_A_captivating_long-haired_girl_with_exquisite_dreads_ami_ae8b9f6b-f8e3-4c83-bf63-89577db740f8.png;generated;false premises;people;people;artifacts
91;image_91;NonixDark_a_female_head_and_a_city_skyline_multiple_exposure_do_adf8fcf0-d78f-4a77-93b0-bbcd5dc6be19.png;https://midjourney-image.s3.amazonaws.com/NonixDark_a_female_head_and_a_city_skyline_multiple_exposure_do_adf8fcf0-d78f-4a77-93b0-bbcd5dc6be19.png;generated;false premises;people;construction;artifacts
92;image_92;MurfiGials_brunette_girl_showing_off_her_big_toe_in_the_style_o_40570ae9-d88b-40fb-ac97-10dcec1ebd0a.png;https://midjourney-image.s3.amazonaws.com/MurfiGials_brunette_girl_showing_off_her_big_toe_in_the_style_o_40570ae9-d88b-40fb-ac97-10dcec1ebd0a.png;generated;false premises;people;indoor;furniture
93;image_93;Method_Visual_event_poster_for_an_offroad_atv_adn_dirtbike_even_560adb5e-eedd-41df-936a-bf7546599429.png;https://midjourney-image.s3.amazonaws.com/Method_Visual_event_poster_for_an_offroad_atv_adn_dirtbike_even_560adb5e-eedd-41df-936a-bf7546599429.png;generated;false premises;vehicles;nature;artifacts
95;image_95;Moss_post-apocalyptic_street_food_vendor_dark_fantasy_74020b0c-a11c-4574-9260-be4138cc5b3a.png;https://midjourney-image.s3.amazonaws.com/Moss_post-apocalyptic_street_food_vendor_dark_fantasy_74020b0c-a11c-4574-9260-be4138cc5b3a.png;generated;false premises;artifacts;people;construction
96;image_96;KAMI_Double_exposure_of_a_anime_girl_and_a_city_8bf29239-cdcd-4a74-8451-8a79bed055ee.png;https://midjourney-image.s3.amazonaws.com/KAMI_Double_exposure_of_a_anime_girl_and_a_city_8bf29239-cdcd-4a74-8451-8a79bed055ee.png;generated;insufficient context;people;construction;artifacts
97;image_97;Pelta_realizing_the_true_purpose_in_life_climbing_the_work_ladd_5af9684b-87f5-4391-8dc4-0d2f8d257455.png;https://midjourney-image.s3.amazonaws.com/Pelta_realizing_the_true_purpose_in_life_climbing_the_work_ladd_5af9684b-87f5-4391-8dc4-0d2f8d257455.png;generated;false premises;nature;artifacts;people
98;image_98;RexxThunder_scifi_charactor_close_up_portrait_dc5e1dc5-88a9-4c1b-9cf4-ed4bd9fb0675.png;https://midjourney-image.s3.amazonaws.com/RexxThunder_scifi_charactor_close_up_portrait_dc5e1dc5-88a9-4c1b-9cf4-ed4bd9fb0675.png;generated;insufficient context;people;people;artifacts
99;image_99;Riot_Cat_an_abandoned_moss-covered_phone_booth_in_a_mystical_fo_8733da36-021d-4b97-8ff5-b289450533df.png;https://midjourney-image.s3.amazonaws.com/Riot_Cat_an_abandoned_moss-covered_phone_booth_in_a_mystical_fo_8733da36-021d-4b97-8ff5-b289450533df.png;generated;false premises;nature;plants;construction
100;image_100;Munch_irregular_shaped_glowing_crystal_bottle_that_is_polished__d4f5ea50-fe16-41e7-942e-46a89c2ad333.png;https://midjourney-image.s3.amazonaws.com/Munch_irregular_shaped_glowing_crystal_bottle_that_is_polished__d4f5ea50-fe16-41e7-942e-46a89c2ad333.png;generated;false premises;accessories;artifacts;furniture
101;image_101;Malcie_007_In_style_of_1990s_point_and_click_16bit_adventure_ga_f49aac2e-e938-4cff-9754-4011d1d16120.png;https://midjourney-image.s3.amazonaws.com/Malcie_007_In_style_of_1990s_point_and_click_16bit_adventure_ga_f49aac2e-e938-4cff-9754-4011d1d16120.png;generated;false premises;animals;artifacts;vehicles
102;image_102;TripTrap_harajuku_gothpunk_20_year_old_female_fennec_girl_baidu_36d45574-424a-4318-946e-dcedf329cce4.png;https://midjourney-image.s3.amazonaws.com/TripTrap_harajuku_gothpunk_20_year_old_female_fennec_girl_baidu_36d45574-424a-4318-946e-dcedf329cce4.png;generated;insufficient context;people;people;artifacts
103;image_103;Starwing_man_with_mask_holding_up_a_framed_painting_in_the_styl_362011a2-90d5-4154-982f-aed36bb2e20c.png;https://midjourney-image.s3.amazonaws.com/Starwing_man_with_mask_holding_up_a_framed_painting_in_the_styl_362011a2-90d5-4154-982f-aed36bb2e20c.png;generated;insufficient context;people;artifacts;body
104;image_104;TheDarthKnight_Pope_wearing_power_armor_fallout_b09f681a-4135-41e5-aa9b-ed951d79963c.png;https://midjourney-image.s3.amazonaws.com/TheDarthKnight_Pope_wearing_power_armor_fallout_b09f681a-4135-41e5-aa9b-ed951d79963c.png;generated;false premises;people;artifacts;artifacts
105;image_105;Rawan_Batman_car_6ec09f31-1b1f-4c3b-9cb0-f27ab01a3a8a.png;https://midjourney-image.s3.amazonaws.com/Rawan_Batman_car_6ec09f31-1b1f-4c3b-9cb0-f27ab01a3a8a.png;generated;false premises;vehicles;construction;artifacts
106;image_106;S0h1A9d8O3w_Award_Winning_Photography_of_large_Cthulhu_with_ten_4dbf4ab3-996a-4263-8e84-0e20e405da76.png;https://midjourney-image.s3.amazonaws.com/S0h1A9d8O3w_Award_Winning_Photography_of_large_Cthulhu_with_ten_4dbf4ab3-996a-4263-8e84-0e20e405da76.png;generated;false premises;animals;nature;artifacts
107;image_107;Macfeb_pixel_art_retro_70s_acid_colors_oldschool_Alien_invasion_ab1b95b0-ff5a-4ae2-bd04-8978f14d2cdc.png;https://midjourney-image.s3.amazonaws.com/Macfeb_pixel_art_retro_70s_acid_colors_oldschool_Alien_invasion_ab1b95b0-ff5a-4ae2-bd04-8978f14d2cdc.png;generated;insufficient context;artifacts;body;nature
108;image_108;Remgy12_Create_an_image_of_a_fisherman_catching_leaders_in_the__06602bf1-8e83-4d9a-9c3c-5d590ce0447a.png;https://midjourney-image.s3.amazonaws.com/Remgy12_Create_an_image_of_a_fisherman_catching_leaders_in_the__06602bf1-8e83-4d9a-9c3c-5d590ce0447a.png;generated;insufficient context;people;animals;vehicles
109;image_109;Tatl_Anime_Kz_in_the_eye_of_a_dragon_crimson_brownish_red_iris__40fa0353-34b0-40d7-bbbb-f773f8cbd741.png;https://midjourney-image.s3.amazonaws.com/Tatl_Anime_Kz_in_the_eye_of_a_dragon_crimson_brownish_red_iris__40fa0353-34b0-40d7-bbbb-f773f8cbd741.png;generated;false premises;nature;body;artifacts
110;image_110;Photobert_from_top_down_view_on_endless_precisely_round_stairca_c9e67d58-cfe7-4987-8a06-fd74201b7be2.png;https://midjourney-image.s3.amazonaws.com/Photobert_from_top_down_view_on_endless_precisely_round_stairca_c9e67d58-cfe7-4987-8a06-fd74201b7be2.png;generated;false premises;indoor;construction;indoor
111;image_111;TravisBeackle75_behind_the_scene_photo_from_jaws_movie_by_Xavie_8bfbf647-c77d-4f06-ba89-25eab0a6a1c9.png;https://midjourney-image.s3.amazonaws.com/TravisBeackle75_behind_the_scene_photo_from_jaws_movie_by_Xavie_8bfbf647-c77d-4f06-ba89-25eab0a6a1c9.png;generated;false premises;animals;people;nature
112;image_112;Spaghetti_Alfredo_pope_francis_wielding_two_golden_pistols_shot_1fda55ed-5f1a-43cf-83d5-693574fc3459.png;https://midjourney-image.s3.amazonaws.com/Spaghetti_Alfredo_pope_francis_wielding_two_golden_pistols_shot_1fda55ed-5f1a-43cf-83d5-693574fc3459.png;generated;false premises;people;people;artifacts
113;image_113;TeeAl_topshot_of_a_vintage_screaming_woman_sinking_into_sea_of__f7e94a03-b51f-40b3-b42a-0f9e399c4fc4.png;https://midjourney-image.s3.amazonaws.com/TeeAl_topshot_of_a_vintage_screaming_woman_sinking_into_sea_of__f7e94a03-b51f-40b3-b42a-0f9e399c4fc4.png;generated;false premises;people;artifacts;body
114;image_114;JolaCh_symbol_of_useful_tips_and_inspiation_in_a_form_of_a_ligh_e5d0e65d-9a5a-4f09-b942-1680972563f0.png;https://midjourney-image.s3.amazonaws.com/JolaCh_symbol_of_useful_tips_and_inspiation_in_a_form_of_a_ligh_e5d0e65d-9a5a-4f09-b942-1680972563f0.png;generated;false premises;artifacts;artifacts;nature
